Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info On Hospitalizations,Deaths,Info On Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type
2012,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,19,0,0,0,0,,,,,,
2012,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,31,2,31,0,31,,,,,,
2012,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,3,0,3,0,3,,,,,,
2012,12,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Suspected,Long-term care/nursing home/assisted living facility,36,0,36,0,36,,,,,,
2012,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,25,0,0,0,0,,,,,,
2012,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,34,0,34,0,34,,,,,,
2012,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,23,1,23,1,23,,,,,,
2012,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,5,0,5,0,5,,,,,,
2012,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,23,0,0,0,0,,,,,,
2012,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,37,0,0,0,0,,,,,,
2012,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,59,0,0,0,0,,,,,,
2012,12,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,41,0,41,0,41,,,,,,
2012,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,32,1,32,0,32,,,,,,
2012,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,17,0,0,0,0,,,,,,
2012,12,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,61,1,61,0,61,,,,,,
2012,12,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,40,1,40,0,40,,,,,,
2012,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,19,0,0,0,0,,,,,,
2012,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,64,0,64,0,64,,,,,,
2012,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,21,0,0,0,0,,,,,,
2012,12,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Suspected,Long-term care/nursing home/assisted living facility,21,2,21,0,21,,,,,,
2012,12,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Suspected,Long-term care/nursing home/assisted living facility,36,0,0,0,0,,,,,,
2012,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,15,0,15,0,15,,,,,,
2012,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,16,0,16,0,16,,,,,,
2012,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,44,0,0,0,0,,,,,,
2012,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,38,0,0,0,0,,,,,,
2012,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,22,0,22,0,22,,,,,,
2012,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 New Orleans,Confirmed,Long-term care/nursing home/assisted living facility,162,0,0,1,1,,,,,,
2013,1,Wisconsin,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Restaurant: Sit-down dining,12,0,12,0,12,,,,,,
2013,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,8,0,8,0,8,,,,,,
2013,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,25,0,25,0,25,,,,,,
2013,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,36,1,36,0,36,,,,,,
2013,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,27,1,27,1,27,,,,,,
2013,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,40,1,40,0,40,,,,,,
2013,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,6,1,6,0,0,,,,,,
2013,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,56,0,56,0,56,,,,,,
2013,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,94,0,0,0,94,,,,,,
2013,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,28,1,28,0,28,,,,,,
2013,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,22,0,22,2,22,,,,,,
2013,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,15,0,0,0,0,,,,,,
2013,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,12,0,12,0,12,,,,,,
2013,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,26,2,26,0,26,,,,,,
2013,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 New Orleans,Confirmed,Long-term care/nursing home/assisted living facility,21,0,21,0,21,,,,,,
2013,1,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,85,0,85,1,85,,,,,,
2013,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,33,0,33,0,33,,,,,,
2013,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,49,1,49,0,49,,,,,,
2013,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,10,0,0,0,10,,,,,,
2013,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 New Orleans,Confirmed,Long-term care/nursing home/assisted living facility,19,0,19,0,19,,,,,,
2013,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,62,0,62,1,62,,,,,,
2013,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,30,5,30,0,30,,,,,,
2013,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,69,1,69,0,69,,,,,,
2013,1,Wisconsin,Person-to-person,Norovirus Genogroup II;Norovirus Genogroup II,unknown; GII.4 Sydney,Confirmed;Confirmed,Long-term care/nursing home/assisted living facility,33,0,33,0,33,,,,,,
2013,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,40,0,0,0,0,,,,,,
2013,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,24,0,24,0,24,,,,,,
2013,1,Wisconsin,Person-to-person,Norovirus unknown;Norovirus Genogroup II,unknown,Confirmed;Confirmed,Long-term care/nursing home/assisted living facility,91,2,91,0,91,,,,,,
2013,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 New Orleans,Confirmed,Long-term care/nursing home/assisted living facility,24,1,24,0,24,,,,,,
2013,1,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,62,1,62,1,62,,,,,,
2013,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,8,0,8,0,8,,,,,,
2013,1,Wisconsin,Indeterminate/unknown,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,36,0,36,0,36,,,,,,
2013,1,Wisconsin,Food,Salmonella enterica,Javiana,Confirmed,Long-term care/nursing home/assisted living facility,3,1,3,0,3,,,,,,
2013,1,Wisconsin,Food,Norovirus Genogroup II,GII.4 Sydney,Suspected,Restaurant: Sit-down dining,15,0,14,0,15,tortilla chips,,Multiple,,,
2013,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.2,Confirmed,School/college/university,44,0,0,0,44,,,,,,
2013,1,Wisconsin,Person-to-person,,,,Child daycare/preschool,23,0,0,0,23,,,,,,
2013,2,Wisconsin,Food,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,16,1,16,0,16,,,,,,
2013,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,41,1,41,1,41,,,,,,
2013,2,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,11,2,11,0,11,,,,,,
2013,2,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,19,0,19,0,19,,,,,,
2013,2,Wisconsin,Person-to-person,,,,School/college/university,25,0,25,0,25,,,,,,
2013,2,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,6,0,6,0,6,,,,,,
2013,2,Wisconsin,Person-to-person,Rotavirus,,Confirmed,Long-term care/nursing home/assisted living facility,29,3,29,0,29,,,,,,
2013,2,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,78,3,78,0,78,,,,,,
2013,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Suspected,Long-term care/nursing home/assisted living facility,13,0,13,0,13,,,,,,
2013,2,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,49,0,49,0,48,,,,,,
2013,2,Wisconsin,Person-to-person,Rotavirus,,Confirmed,Long-term care/nursing home/assisted living facility,43,3,43,0,43,,,,,,
2013,2,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,5,1,5,1,5,,,,,,
2013,2,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,11,2,11,0,11,,,,,,
2013,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,44,0,44,0,44,,,,,,
2013,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,15,0,15,0,15,,,,,,
2013,2,Wisconsin,Person-to-person,Rotavirus,,Suspected,Long-term care/nursing home/assisted living facility,13,0,0,0,13,,,,,,
2013,2,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,10,0,0,0,0,,,,,,
2013,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,53,2,53,0,53,,,,,,
2013,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,75,1,75,1,75,,,,,,
2013,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 New Orleans,Suspected,Long-term care/nursing home/assisted living facility,39,0,39,0,39,,,,,,
2013,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,20,1,20,0,20,,,,,,
2013,2,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,29,0,29,0,29,,,,,,
2013,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,27,0,27,0,27,,,,,,
2013,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,104,2,104,1,104,,,,,,
2013,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.2,Suspected,Long-term care/nursing home/assisted living facility,7,0,0,0,0,,,,,,
2013,2,Wisconsin,Indeterminate/unknown,Norovirus Genogroup II,,Suspected,Restaurant,5,0,5,0,5,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.6,Confirmed,Long-term care/nursing home/assisted living facility,69,0,0,0,0,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Hospital,31,,0,,0,,,,,,
2013,3,Wisconsin,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Banquet Facility (food prepared and served on-site),27,0,27,0,27,,,,,,
2013,3,Wisconsin,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Other,3,1,3,0,3,"milk, unpasteurized",,Dairy,,,
2013,3,Wisconsin,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Private home/residence,26,0,26,0,26,,,,,,
2013,3,Wisconsin,Food,Norovirus Genogroup II,GII.2,Confirmed,Hospital,33,0,33,0,33,,,,,,
2013,3,Wisconsin,Indeterminate/unknown,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,32,6,32,1,32,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,24,3,24,0,24,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,51,1,51,0,51,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,35,0,0,0,0,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,51,5,51,0,51,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,13,0,13,0,13,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,16,0,16,1,16,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,33,2,33,0,33,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,11,0,11,0,11,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,68,0,68,0,68,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,51,0,51,0,51,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,41,0,0,0,0,,,,,,
2013,3,Wisconsin,Person-to-person,Rotavirus,,Suspected,Long-term care/nursing home/assisted living facility,17,0,17,0,17,,,,,,
2013,3,Wisconsin,Person-to-person,Rotavirus,,Confirmed,Long-term care/nursing home/assisted living facility,12,2,12,0,12,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,45,6,45,1,45,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,35,2,35,0,35,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,10,0,0,0,10,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,40,1,40,0,40,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup I,GI.5,Suspected,Long-term care/nursing home/assisted living facility,17,0,0,0,0,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Den Haag,Confirmed,Long-term care/nursing home/assisted living facility,25,2,25,0,25,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,108,0,0,0,0,,,,,,
2013,3,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,24,1,24,0,24,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,41,1,41,0,41,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,24,0,24,0,24,,,,,,
2013,3,Wisconsin,Person-to-person,,,,Other,4,0,4,0,4,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,16,0,16,0,16,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,50,0,50,0,50,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,17,0,17,0,17,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,34,0,34,0,34,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,44,1,44,0,44,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,72,0,72,0,72,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,58,3,57,1,57,,,,,,
2013,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,13,2,13,0,13,,,,,,
2013,3,Wisconsin,Food,Norovirus Genogroup II,GII.4 Sydney,Suspected,Restaurant: Sit-down dining,22,1,22,0,22,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,9,0,9,0,9,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,13,1,13,0,13,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus unknown;Norovirus Genogroup II,GII.4 Sydney,Confirmed;Confirmed,Long-term care/nursing home/assisted living facility,70,1,70,0,70,,,,,,
2013,4,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,29,2,29,0,29,,,,,,
2013,4,Wisconsin,Person-to-person,Rotavirus,,Confirmed,Long-term care/nursing home/assisted living facility,32,3,32,1,32,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,38,2,38,0,38,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,45,1,45,1,45,,,,,,
2013,4,Wisconsin,Person-to-person,Rotavirus,,Confirmed,Long-term care/nursing home/assisted living facility,13,0,0,0,10,,,,,,
2013,4,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,10,1,10,0,10,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,20,0,9,0,20,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.13,Confirmed,Long-term care/nursing home/assisted living facility,20,0,20,0,20,,,,,,
2013,4,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,10,0,10,0,10,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,24,1,24,0,24,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,23,0,23,0,23,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,28,1,28,0,28,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,35,0,35,0,35,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus Genogroup I,unknown,Suspected,Long-term care/nursing home/assisted living facility,9,0,9,0,9,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,17,0,17,0,17,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,38,0,38,0,38,,,,,,
2013,4,Wisconsin,Person-to-person,,,,School/college/university,40,0,0,0,40,,,,,,
2013,4,Wisconsin,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Sit-down dining,5,1,5,0,5,,,,,,
2013,4,Wisconsin,Indeterminate/unknown,,,,Long-term care/nursing home/assisted living facility,7,0,0,0,0,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Hotel/motel,28,0,28,0,28,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,22,2,22,0,22,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus Genogroup I,GI.6,Confirmed,School/college/university,67,0,0,0,67,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,16,0,16,1,16,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,16,0,0,0,15,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,39,1,39,0,39,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,18,0,18,0,18,,,,,,
2013,4,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,28,0,28,0,28,,,,,,
2013,5,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,17,0,17,0,17,,,,,,
2013,5,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.5,Confirmed,Camp,14,2,14,0,14,,,,,,
2013,5,Wisconsin,Indeterminate/unknown,Norovirus Genogroup I,GI.5,Confirmed,Restaurant,24,0,24,0,24,,,,,,
2013,5,Wisconsin,Food,Salmonella enterica,Uganda,Confirmed,Religious facility,25,2,25,0,25,"boiled beef;beef, laab raw",beef,Beef,,,
2013,5,Wisconsin,Food,Salmonella enterica,"I 4,[5],12:i:-",Confirmed,Unknown,17,6,16,0,16,,,,,,
2013,5,Wisconsin,Food,"Escherichia coli, Shiga toxin-producing",O111,Confirmed,,3,2,3,0,3,,,,,,
2013,5,Wisconsin,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Sit-down dining,8,1,8,0,8,,,,,,
2013,5,Wisconsin,Indeterminate/unknown,,,,Correctional/detention facility,51,0,51,0,51,,,,,,
2013,5,Wisconsin,Indeterminate/unknown,Norovirus Genogroup II,GII.3,Confirmed,Hotel/motel,21,0,21,0,21,,,,,,
2013,5,Wisconsin,Indeterminate/unknown,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Restaurant,5,0,5,0,5,,,,,,
2013,5,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,16,0,16,0,16,,,,,,
2013,5,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Suspected,Correctional/detention facility,21,0,21,0,21,,,,,,
2013,5,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Suspected,Long-term care/nursing home/assisted living facility,17,2,17,0,17,,,,,,
2013,5,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,35,0,35,0,35,,,,,,
2013,5,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,16,1,16,0,16,,,,,,
2013,5,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.6,Confirmed,School/college/university,58,0,58,0,58,,,,,,
2013,6,Wisconsin,Indeterminate/unknown,,,,Long-term care/nursing home/assisted living facility,10,0,10,0,10,,,,,,
2013,6,Wisconsin,Food,Scombroid toxin,,Suspected,Restaurant: Sit-down dining,4,0,4,0,4,tuna salad,yellowfin tuna,Fish,,,
2013,6,Wisconsin,Person-to-person,Norovirus Genogroup I,GI.6,Confirmed,Long-term care/nursing home/assisted living facility,21,0,21,0,21,,,,,,
2013,6,Wisconsin,Person-to-person,Norovirus Genogroup I,GI.3,Confirmed,Camp,38,0,38,0,38,,,,,,
2013,6,Wisconsin,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,7,5,5,0,7,,,,Drinking water,Community;Other,
2013,6,Wisconsin,Person-to-person,Norovirus Genogroup II,,Confirmed,Hotel/motel,21,0,21,0,21,,,,,,
2013,6,Wisconsin,Food,Salmonella enterica,Braenderup,Confirmed,Restaurant: Fast-food (drive up service or pay at counter),75,5,75,0,75,Vegetables,,N/A,,,
2013,6,Wisconsin,Food,Bacillus cereus;Clostridium perfringens,,Suspected;Suspected,Restaurant: Sit-down dining,4,0,4,0,4,,,,,,
2013,7,Wisconsin,Indeterminate/unknown,Norovirus Genogroup I,GI.3,Confirmed,Other,7,0,7,0,7,,,,,,
2013,7,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,8,0,8,0,8,,,,,,
2013,7,Wisconsin,Indeterminate/unknown,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,13,0,13,1,13,,,,,,
2013,7,Wisconsin,Food,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,4,2,4,0,4,"eggs, unspecified",,Eggs,,,
2013,7,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,15,1,15,0,15,,,,,,
2013,7,Wisconsin,Indeterminate/unknown,Shigella sonnei,,Suspected,Long-term care/nursing home/assisted living facility,2,1,2,0,2,,,,,,
2013,7,Wisconsin,Food,Cyclospora cayetanensis,,Confirmed,Private home/residence,8,0,8,0,8,blackberries,blackberries,Fruits,,,
2013,7,Wisconsin,Water,"Escherichia coli, Shiga toxin-producing",O145,Confirmed,Camp/cabin,3,0,3,0,3,,,,Recreational water -- untreated,Lake/Reservoir,
2013,7,Wisconsin,Person-to-person,Shigella,,Confirmed,Camp,17,0,0,0,17,,,,,,
2013,7,Wisconsin,Indeterminate/unknown,Norovirus Genogroup II,GII.2,Suspected,Other,13,0,13,0,13,,,,,,
2013,8,Wisconsin,Indeterminate/unknown,"Escherichia coli, Shiga toxin-producing",O157,Confirmed,Child daycare/preschool,2,1,2,0,2,,,,,,
2013,8,Wisconsin,Water,Cryptosporidium hominis;Cryptosporidium unknown,IfA12G1,Confirmed;Confirmed,School/college/university;Fee-based facility/membership club,37,0,37,0,37,,,,Recreational water -- treated,Pool - Other Swimming Pool,
